ticker,exchange,benchmark,major,sub
NKE,NYSE,XLY,消费,运动服饰
TJX,NYSE,XLY,消费,折扣零售
SBUX,NASDAQ,XLY,消费,餐饮
BKNG,NASDAQ,XLY,消费,在线旅游
CMG,NYSE,XLY,消费,餐饮
COST,NASDAQ,XLP,消费,消费必需品
WMT,NYSE,XLP,消费,消费必需品
PG,NYSE,XLP,消费,消费必需品
PEP,NASDAQ,XLP,消费,消费必需品
PM,NYSE,XLP,消费,消费必需品
META,NASDAQ,XLC,通讯服务,互联网媒体
NFLX,NASDAQ,XLC,通讯服务,流媒体娱乐
DIS,NYSE,XLC,通讯服务,影视娱乐
TMUS,NASDAQ,XLC,通讯服务,电信
T,NYSE,XLC,通讯服务,电信
VZ,NYSE,XLC,通讯服务,电信
RBLX,NYSE,XLC,通讯服务,游戏
PANW,NASDAQ,IGV,软件,网络安全
DDOG,NASDAQ,IGV,软件,软件
RNG,NYSE,IGV,软件,软件
FERG,NYSE,XLI,工业,工业分销
FAST,NASDAQ,XLI,工业,工业分销
SUNB,NYSE,XLI,工业,设备租赁
APG,NYSE,XLI,工业,工业服务
CROX,NASDAQ,XLY,消费,服饰鞋类
BHP,NYSE,XME,矿业,金属采矿
AMGN,NASDAQ,XLV,医疗健康,制药
SWK,NYSE,XLI,工业,工业机械
MT,NYSE,XLB,基础材料,钢铁
WTTR,NYSE,XLE,油气,油气设备服务
ROKU,NASDAQ,XLC,通讯服务,流媒体娱乐
FOXA,NASDAQ,XLC,通讯服务,影视娱乐
SHOP,NYSE,IGV,软件,电商软件
APP,NASDAQ,IGV,软件,广告技术
NET,NYSE,IGV,软件,网络安全
SITM,NASDAQ,SOXX,半导体,半导体
SAN,NYSE,XLF,金融地产,银行
IBKR,NASDAQ,XLF,金融地产,券商
PH,NYSE,XLI,工业,工业机械
HWM,NYSE,ITA,航空国防,航空航天国防
CAKE,NASDAQ,XLY,消费,餐饮
VSXY,NYSE,XLY,消费,服饰零售
DEO,NYSE,XLP,消费,消费必需品
ACMR,NASDAQ,SOXX,半导体,半导体设备
AMBQ,NYSE,SOXX,半导体,半导体
APPS,NASDAQ,IGV,软件,软件
BLZE,NASDAQ,IGV,软件,软件
FSLY,NYSE,IGV,软件,软件
QNT,NASDAQ,QTUM,科技硬件,量子计算
TTAN,NASDAQ,IGV,软件,软件
CLBK,NASDAQ,XLF,金融地产,银行
